Měsíc,Platba,Plátce,Příjemce,Částka (Kč),Důvod platby,Zdroj
2014-11,2014-12-09,Pirati,Ondřej Profant,5000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/11/adam/vycetka.docx?raw=true
2014-12,2015-01-09,Praha,Jakub Michálek,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Jakub Michálek,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Jakub Michálek,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Mikuláš Ferjenčík,4912,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Mikuláš Ferjenčík,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Mikuláš Ferjenčík,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Ondřej Profant,4912,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Ondřej Profant,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Ondřej Profant,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Adam Zábranský,3760,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Adam Zábranský,671,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-01-09,Praha,Adam Zábranský,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2015-02-27,Praha,Jakub Michálek,18000,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/jakub/vycetka.doc?raw=true        
2014-12,2015-02-27,Praha,Mikuláš Ferjenčík,4275,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/miki/vycetka.docx?raw=true
2014-12,2015-02-27,Praha,Ondřej Profant,18000,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/ondra/vycetka.docx?raw=true
2014-12,2015-02-27,Praha,Adam Zábranský,4500,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/adam/vycetka.docx?raw=true
2014-12,2014-12-01,Pirati,Jakub Michálek,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2014-12-01,Pirati,Jakub Michálek,3000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
2014-12,2014-12-01,Pirati,Mikuláš Ferjenčík,7517,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2014/12/2014-12.pdf
