IČO,Název,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total Result,kolikrát dostali dotaci
16191579,SK Uhelné sklady Praha,,,,,0,,,,200 000,,,,,,200 000,1
61387789,Vodácký klub Slavoj            P,200 000,,,,,,,,,,,,,,200 000,1
550353,Pražský jezdecký klub Gabrielka,,,,,150 000,,,0,0,,,,,,150 000,1
14893835,TJ Sokol Jinonice,150 000,,,,,,,,,,,,,,150 000,1
75012502,TJ Sokol Modřany,,,,,,,,150 000,,,,,,,150 000,1
22735134,Beachklub Ládví o.s.,,,,,,,,100 000,,,,,,,100 000,1
541915,SK Sport Zbraslav,60 000,,,,,,,,,,,,,,60 000,1
564435,T.J. Blaník Praha,,,,,,,,,50 000,,,,,,50 000,1
67981399,Tenisový klub Praga - Vysočany,,,,,,,,,50 000,,,,,,50 000,1
61379310,"Církevní MŠ Studánka, Ke Kamýku 686",,,,,,,,,30 000,,,,,,30 000,1
537870,TJ Tatran Praha 7,0,,,,0,,,,,,,,,,0,0
538469,SPORTOVNÍ KLUB METEOR PRAHA,,,,,,,,,0,,,,,,0,0
538477,Tělovýchovná jednota ASTRA Zahradní město,,,,,,,,,,0,,,,,0,0
540129,Český Yacht Klub,,,,,,,,,0,,,,,,0,0
549045,TJ PEDAGOG MODŘANY,,,,,,,,,0,,,,,,0,0
569534,TJ Slavoj Koloděje,,,,,0,,,,,,,,0,,0,0
15273482,TJ Karlín Tesla,,,,,,,,,,0,,,,,0,0
26530830,RELAX SPORT CLUB ZBRASLAV,,,,,,,,,,0,,,,,0,0
26675011,Auto klub Markéta při PSK Olymp Praha,,,,,,,0,,,,,,,,0,0
27008614,DRUHÁ ŠANCE - sport pro všechny,,,,,,,,,0,0,,,,,0,0
27027724,SK LOKOMOTIVA BRANÍK,,,,,,,,,0,0,,,,,0,0
27051480,"SANG, o.s.",,,,,,,,,,0,,,,,0,0
27894258,VRŠA - SPORT s.r.o.,,,,,,,,,0,,,,,,0,0
40614964,AFK Záběhlice,,,,,0,,,,,,,,,,0,0
40767353,Radotínský turistický klub,,,,,,,,,0,,,,,,0,0
48135682,Tělovýchovná jednota ORION PRAHA,,,,,0,,,,0,,,,,,0,0
49626564,Atletický sportovní klub Slavia Praha,,,,,0,,,,,,,,,,0,0
49628313,TJ Sokol Řeporyje,,,,,,,,0,,,,,,,0,0
61381756,SK Horní Měcholupy,,,,,0,,,0,,0,,,,,0,0
62899341,Urban Tomáš,,,,,,,,,,0,,,,,0,0
63833263,TJ Solidarita,0,,,,0,,,0,,,,,,,0,0
69060177,TJ Sokol Suchdol - Sedlec,,,,,0,,,,,,,,,,0,0
