kniha;castka;nazev_subjektu;ICO;evidencni_cislo;datum_evidence;popis
08 - Odbor krizového řízení;3719462;KH SERVIS spol.s r.o.;45279748;50801113;2005-12-15;
08 - Odbor krizového řízení;3718391;KH SERVIS spol.s r.o.;45279748;50800865;2005-10-03;
08 - Odbor krizového řízení;3604800;KH SERVIS a.s.;45279748;110800807;2011-12-13;akce č. 40459 - sml 4905 - Městský kamerový systém - rozšíření a integrace
08 - Odbor bezpečnosti a krizového řízení;3604800;KH SERVIS a.s.;45279748;120800273;2012-05-16;Městský kamerový systém - rozšíření a integrace
08 - Odbor krizového řízení;3547985;KH SERVIS spol.s r.o.;45279748;50800453;2005-06-02;
08 - Odbor krizového řízení;3394785;KH SERVIS spol.s r.o.;45279748;50800146;2005-04-06;
08 - Odbor krizového řízení;3242512;KH SERVIS spol.s r.o.;45279748;40800522;2004-07-07;
JPD2 - individuální projekty;3189200;KH SERVIS spol.s r.o.;45279748;602100086;2006-11-27;
08 - Odbor krizového řízení;3162768;KH SERVIS a.s.;45279748;100800870;2010-12-15;akce č. 40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;3126368;KH SERVIS a.s.;45279748;90800631;2009-11-03;akce č. 40459- Rozšíření a integrace MKS
08 - Odbor krizového řízení;3123750;KH SERVIS spol.s r.o.;45279748;40800890;2004-11-04;
08 - Odbor krizového řízení;3088600;KH SERVIS a.s.;45279748;90800562;2009-10-05;Rozšíření a integrace MKS - akce č. 40459
08 - Odbor krizového řízení;3054706;KH SERVIS spol.s r.o.;45279748;30800617;2003-09-08;
08 - Odbor krizového řízení;2933226;KH SERVIS spol.s r.o.;45279748;40800731;2004-10-06;
08 - Odbor krizového řízení;2925863;KH SERVIS spol.s r.o.;45279748;40801318;2004-12-16;
08 - Odbor krizového řízení;2893640;KH SERVIS spol.s r.o.;45279748;80800822;2008-12-17;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;2869501;KH SERVIS spol.s r.o.;45279748;40800757;2004-10-11;
08 - Odbor krizového řízení;2859925;KH SERVIS spol.s r.o.;45279748;30800683;2003-10-01;
08 - Odbor krizového řízení;2750142;KH SERVIS spol.s r.o.;45279748;40800133;2004-04-19;
08 - Odbor krizového řízení;2731860;KH SERVIS a.s.;45279748;100800594;2010-09-30;Integrace a výstavba MKS - akce č. 40459
08 - Odbor krizového řízení;2684880;KH SERVIS a.s.;45279748;100800659;2010-10-18;akce č. 40459 - rozšíření a integrace MKS - sml. 4704/2010
08 - Odbor krizového řízení;2669141;KH SERVIS spol.s r.o.;45279748;40800127;2004-04-07;
08 - Odbor krizového řízení;2531963;KH SERVIS a.s.;45279748;90800689;2009-12-01;akce č. 40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;2485915;KH SERVIS spol.s r.o.;45279748;20800466;2002-07-11;
08 - Odbor krizového řízení;2480016;KH SERVIS a.s.;45279748;100800871;2010-12-15;akce č. 40459 rozšíření a integrace MKS
08 - Odbor krizového řízení;2480016;KH SERVIS a.s.;45279748;110800531;2011-09-01;40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;2458236;KH SERVIS a.s.;45279748;100800739;2010-11-15;akce č. 40459 - rozšíření a integrace MKS - sml. č. 4652
08 - Odbor krizového řízení;2383228;KH SERVIS spol.s r.o.;45279748;60800581;2006-11-08;
08 - Odbor krizového řízení;2321785;KH SERVIS spol.s r.o.;45279748;60800621;2006-11-30;
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;130800392;2013-07-01;nákup služeb zajištění zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP 2.Q.2013
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;130800685;2013-10-22;zajištění služeb nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP - 3.Q.2013
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;140800377;2014-07-01;Zajištění služeb - zabezpečení správy nadstavbového SW ECCs 2.Q.2014
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;140800076;2014-01-07;zajištění služeb - zabezpečení správy nadstavbového SW ECCs 4.Q.2013
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;140800221;2014-04-07;zabezpečení správy ECCs - I.Q 2014
